"","files","names","conditions","replicate","type","DOD","DOB","Time","Age","Sex","ID","OrigSampleID"
"1","RT0h_R1","RT0h_R1","RT0h","R1","Ribo-Tag",2020-09-25,2020-03-10,00:00:00,6.5,"M","16 ",1
"2","RT0h_R2","RT0h_R2","RT0h","R2","Ribo-Tag",2020-09-25,2020-04-05,00:00:00,5.7,"F","26 ",2
"3","RT0h_R3","RT0h_R3","RT0h","R3","Ribo-Tag",2020-09-25,2020-04-05,00:00:00,5.7,"F","27 ",3
"4","RT16h_R1","RT16h_R1","RT16h","R1","Ribo-Tag",2020-09-30,2020-04-05,08:15:00,5.9,"M","22 ",13
"5","RT16h_R2","RT16h_R2","RT16h","R2","Ribo-Tag",2020-09-30,2020-04-05,08:15:00,5.9,"M","23 ",14
"6","RT16h_R3","RT16h_R3","RT16h","R3","Ribo-Tag",2020-09-30,2020-04-05,08:15:00,5.9,"F","28 ",15
"7","RT3h_R1","RT3h_R1","RT3h","R1","Ribo-Tag",2020-09-25,2020-03-10,15:45:00,6.5,"F","13 ",4
"8","RT3h_R2","RT3h_R2","RT3h","R2","Ribo-Tag",2020-09-25,2020-03-10,15:45:00,6.5,"F","14 ",5
"9","RT3h_R3","RT3h_R3","RT3h","R3","Ribo-Tag",2020-09-25,2020-03-10,15:45:00,6.5,"M","18 ",6
"10","RT5h_R1","RT5h_R1","RT5h","R1","Ribo-Tag",2020-09-25,2020-04-05,15:50:00,5.7,"F","21 ",7
"11","RT5h_R2","RT5h_R2","RT5h","R2","Ribo-Tag",2020-09-25,2020-04-05,15:50:00,5.7,"M","24 ",8
"12","RT5h_R3","RT5h_R3","RT5h","R3","Ribo-Tag",2020-09-25,2020-04-05,15:50:00,5.7,"M","25 ",9
"13","RT8h_R1","RT8h_R1","RT8h","R1","Ribo-Tag",2020-09-25,2020-04-05,15:55:00,5.7,"M","29",10
"14","RT8h_R2","RT8h_R2","RT8h","R2","Ribo-Tag",2020-09-25,2020-04-05,15:55:00,5.7,"M","30",11
"15","RT8h_R3","RT8h_R3","RT8h","R3","Ribo-Tag",2020-09-25,2020-04-05,15:55:00,5.7,"M","31",12
"16","RTA0h_R1","RTA0h_R1","RTA0h","R1","RTS-seq",2020-09-25,2020-03-10,00:00:00,6.5,"M","16 ",1
"17","RTA0h_R2","RTA0h_R2","RTA0h","R2","RTS-seq",2020-09-25,2020-04-05,00:00:00,5.7,"F","26 ",2
"18","RTA0h_R3","RTA0h_R3","RTA0h","R3","RTS-seq",2020-09-25,2020-04-05,00:00:00,5.7,"F","27 ",3
"19","RTA16h_R1","RTA16h_R1","RTA16h","R1","RTS-seq",2020-09-30,2020-04-05,08:15:00,5.9,"M","22 ",13
"20","RTA16h_R2","RTA16h_R2","RTA16h","R2","RTS-seq",2020-09-30,2020-04-05,08:15:00,5.9,"M","23 ",14
"21","RTA16h_R3","RTA16h_R3","RTA16h","R3","RTS-seq",2020-09-30,2020-04-05,08:15:00,5.9,"F","28 ",15
"22","RTA3h_R1","RTA3h_R1","RTA3h","R1","RTS-seq",2020-09-25,2020-03-10,15:45:00,6.5,"F","13 ",4
"23","RTA3h_R2","RTA3h_R2","RTA3h","R2","RTS-seq",2020-09-25,2020-03-10,15:45:00,6.5,"F","14 ",5
